planta,exposicao,rega,ambiente,poda,adubo
Echeverias Variadas,Sol pleno ou meia-sombra,"Pouca água, solo seco entre regas",Interno ou externo,Remover folhas mortas,Solo arenoso e bem drenado
Ervas Aromáticas Variadas,Sol pleno,"1-2 vezes por semana, solo úmido",Externo ou interno em locais bem iluminados,Podar regularmente para estimular o crescimento,Solo leve e bem drenado
Ficus Elastica Burgundy,Luz indireta ou meia-sombra,"1 vez por semana, solo úmido",Interno,Remover folhas secas,Solo rico em matéria orgânica
Ficus Elastica Tineke,Luz indireta ou meia-sombra,"Moderada, solo levemente úmido",Interno,Poda para manter a forma,Solo bem drenado
Fitonia,Luz indireta ou meia-sombra,"Solo sempre úmido, 2-3 vezes por semana",Interno,Remover folhas secas,Solo rico e bem drenado
Flor de Maio,Luz indireta ou meia-sombra,"Moderada, solo seco entre regas",Interno,Remover ﬂores murchas,Substrato para cactos e suculentas
Frutifera Figo,Sol pleno,"Moderada, manter solo úmido",Externo,Poda anual após a colheita,Solo bem drenado
Frutifera Uva,Sol pleno,"Moderada, manter solo úmido",Externo,Poda anual após a colheita,Solo rico em nutrientes
Frutífera Amora Gigante,Sol pleno,"Diária, manter solo úmido",Externo,Podar para estimular o crescimento,Solo rico em nutrientes
Frutífera Diversas,Sol pleno,"Moderada, solo úmido",Externo,Podar para estimular o crescimento,Solo rico em nutrientes
Frutífera Jabuticaba Sabará,Sol pleno ou meia-sombra,Manter solo úmido,Externo,Remover ramos secos,Solo rico e úmido
Gerânio Pendente,Sol pleno,"Moderada, solo seco entre regas",Externo,mover ﬂores murchas para estimular nova ﬂoração,Solo bem drenado
Hederas Variadas,Meia-sombra,"Moderada, solo ligeiramente úmido",Interno ou externo,Remover ramos secos,Solo bem drenado
Hibiscos Dobrados,Sol pleno ou meia-sombra,"2-3 vezes por semana, solo úmido",Externo,Podar após a ﬂoração,Solo bem drenado
Hidroponia,"Sol pleno ou meia-sombra, dependendo da planta",Água constantemente circulando,Interno ou externo,Remover folhas mortas,Nutrientes hidropônicos
Hoyas Variadas,Luz indireta ou meia-sombra,"Moderada, solo seco entre regas",Interno,Remover ﬂores secas,Solo bem drenado
Hypoestes Jardineiras,Luz indireta ou sombra parcial,"Moderada, solo levemente úmido",Interno,Remover folhas secas,Solo bem drenado
Jiboias,Luz indireta ou sombra parcial,"Moderada, solo úmido",Interno,Remover folhas secas e ramos mortos,Solo bem drenado
Kalanchoes Bicolores,Luz direta ou meia-sombra,"Pouca, solo seco entre regas",Externo ou interno,Remover ﬂores murchas,Substrato para suculentas
Kalanchoes Dobrados,Sol pleno ou meia-sombra,Solo seco entre regas,Externo ou interno,Remover ﬂores murchas,Solo arenoso e bem drenado
Kalanchoes Mini,Sol pleno ou meia-sombra,Solo seco entre regas,Externo ou interno,Remover ﬂores murchas,Solo bem drenado
Lavândulas Angustifolias,Sol pleno,"Moderada, solo seco entre regas",Externo,Poda regular após ﬂoração para estimular novo crescimento,Solo bem drenado
Lágrimas de Cristo,Sol pleno ou meia-sombra,"Solo úmido, mas não encharcado",Externo ou interno,Poda leve para controle de crescimento,Solo bem drenado
Lírios Variados,Sol pleno ou meia-sombra,"Solo úmido, sem encharcar",Externo ou interno,Remover ﬂores murchas,Solo rico em matéria orgânica
Lírios da Paz,Luz indireta,"Moderada, solo ligeiramente úmido",Interno,Remover ﬂores murchas e folhas secas,Solo bem drenado
Marantas Variadas,Luz indireta ou sombra parcial,"Solo sempre úmido, 2-3 vezes por semana",Interno,Remover folhas secas,Solo bem drenado e rico
Ora Pro Nobis Dourada,Sol pleno,"Moderada, solo ligeiramente úmido",Externo,Poda regular para estimular o crescimento,Solo fértil e bem drenado
Orquídeas,"Luz indireta, meia-sombra","Moderada, solo úmido",Interno,Remover ﬂores secas após a ﬂoração,Substrato para orquídeas
Palmeiras,"Luz indireta, meia-sombra","Moderada, solo úmido",Interno,Remover folhas secas,Solo rico em matéria orgânica
Patas de Elefante,Sol pleno ou meia-sombra,"Escassa, solo seco entre regas",Interno ou externo,Remover folhas secas,Solo arenoso
Peperômias,Luz indireta ou meia-sombra,"Moderada, solo ligeiramente úmido",Interno,Remover folhas secas,Solo bem drenado
Philodendrons,Luz indireta ou meia-sombra,"Moderada, solo ligeiramente úmido",Interno,Remover folhas secas,Solo bem drenado
Pimenta,Sol pleno,"Moderada, solo ligeiramente úmido",Externo ou interno com luz solar direta,Podar após frutiﬁcação,Solo fértil e bem drenado
Podocarpus,Sol pleno ou meia-sombra,"Moderada, solo úmido",Externo ou interno,Regular para manter a forma,Solo rico
Primaveras,Sol pleno,"Moderada, solo úmido",Externo,Poda leve após ﬂoração,Solo rico e bem drenado
Rendas Portuguesas,Meia-sombra ou luz indireta,"Moderada, solo ligeiramente úmido",Interno,Remover folhas secas,Solo  bem drenado
Rosas do Deserto,Sol pleno,Solo seco entre regas,Externo,Remover ﬂores murchas e galhos mortos,Solo arenoso e bem drenado
Roseiras,Sol pleno,"Moderada, solo ligeiramente úmido",Externo,Remover ﬂores murchas,Solo  bem drenado
Samambaias,Luz indireta ou sombra parcial,"Solo úmido, sem encharcar",Interno,Remover folhas secas,Solo rico em matéria orgânica
Suculentas Variadas,Sol pleno ou meia-sombra,"Pouca água, solo seco entre regas",Interno ou externo,Remover folhas secas,Solo arenoso
Sunpatiens,Sol pleno ou meia-sombra,"Moderada, solo úmido",Externo,Remover ﬂores secas,Solo bem drenado
Torenias,Meia-sombra ou luz indireta,"Solo úmido, sem encharcar",Externo,Remover ﬂores murchas,Solo leve e rico
Tostões Variados,Luz indireta ou sombra parcial,"Moderada, solo seco entre regas",Interno,Remover folhas secas,Solo bem drenado
Trevos de Quatro Folhas,Luz indireta ou sombra parcial,"Solo úmido, sem encharcar",Interno ou externo,Não é necessário,Solo bem drenado
Tuias Strickita,Sol pleno,"Moderada, solo úmido",Externo,Poda regular para manter o formato,Solo bem drenado
Vincas,Sol pleno ou meia-sombra,"Moderada, solo úmido",Externo,Remover ﬂores murchas,Solo bem drenado
Violetas,Luz indireta ou meia-sombra,"Moderada, evitar molhar as folhas",Interno,Remover ﬂores murchas,Solo leve e rico
